"rate","mean_R2","min_R2","max_R2","range_R2"
0.2,0.842547877505451,0.452492066659726,0.963548149214835,0.511056082555109
0.3,0.886866158493905,0.595946236934894,0.974417902045793,0.378471665110899
0.4,0.900162078912964,0.593874554883799,0.981714412629719,0.38783985774592
0.55,0.90570382345981,0.638229945550613,0.980827197273486,0.342597251722873
0.7,0.902943085708588,0.606110395454571,0.975017865665342,0.368907470210771
0.85,0.900450564053119,0.628554137314865,0.964137063413342,0.335582926098477
1,0.699031161322643,0.472042913964513,0.764722456543715,0.292679542579202
