"extremum","trials","rate","R2","R2_ci_lower","R2_ci_upper","pearson_r","spearman_rho","RMSE","MAE","bias","n_valid","convergence_rate"
"max",80,0.4,0.981714412629719,0.972954875315699,0.987574674204753,0.990815024426719,NA,NA,NA,NA,100,1
"min",10,0.2,0.452492066659726,0.337519640202044,0.573682862950739,0.672675305522453,NA,NA,NA,NA,100,1
