"trials","mean_R2","min_R2","max_R2","range_R2"
10,0.569607178680426,0.452492066659726,0.638229945550613,0.185737878890887
20,0.850227286275848,0.69171643726303,0.899823154800216,0.208106717537186
30,0.887061474577527,0.701985652707978,0.94142357990545,0.239437927197472
40,0.919801578056816,0.747444408789694,0.960781968871522,0.213337560081828
60,0.933461549968362,0.76295528449816,0.973750405983366,0.210795121485206
70,0.936138646492487,0.752350975491407,0.980827197273486,0.228476221782079
80,0.941407035405014,0.764722456543715,0.981714412629719,0.216991956086004
